time (sec),ch1,ch2,ch3,ch4,ch5,ch6
0.05,0.041666349,0.045856974,0.046298655,0.048211314,0.044867478,0.052225439
0.064627049,0.05697175,0.060241292,0.06138443,0.070155383,0.067150232,0.061896643
0.106754866,0.060180112,0.099014222,0.104261583,0.100656954,0.104266316,0.111173042
0.118887354,0.068385046,0.093804534,0.111878847,0.121899107,0.123577195,0.117983203
0.14359722,0.052087703,0.116602111,0.13263412,0.130344248,0.129170072,0.130605715
0.167178981,0.040315187,0.115030471,0.13956427,0.156247839,0.150550788,0.174555781
0.22051858,0.007553428,0.119365336,0.186820796,0.181741596,0.19385997,0.225397414
0.247909782,4.29483E-05,0.137363401,0.190529614,0.231055524,0.205159772,0.235377596
0.278500706,0.008661512,0.122791301,0.204253738,0.236115149,0.253461337,0.23991144
0.300545697,0.028502606,0.097482554,0.197936517,0.231454695,0.248007912,0.278756212
0.342473688,0.10944216,0.084435978,0.20074694,0.243815542,0.275626379,0.275588434
0.363016082,0.140745562,0.058653839,0.185265106,0.273196425,0.294176335,0.334357936
0.383590902,0.22090987,0.050294249,0.180298224,0.282134634,0.314248718,0.329853586
0.390566695,0.238636425,0.047422092,0.170177835,0.242312661,0.280148892,0.305942025
0.398324227,0.250251757,0.03799509,0.170157644,0.244334018,0.331176222,0.335948142
0.403828405,0.251319337,0.035160148,0.186140184,0.236952761,0.336363022,0.303660849
0.433303047,0.353934547,0.019331227,0.153026676,0.258351276,0.293992109,0.370776784
0.475503079,0.473642744,0.002700091,0.153696939,0.251074578,0.347324558,0.387299268
0.510057215,0.519200023,0.000495539,0.115804195,0.227599296,0.296383869,0.378355426
0.553794362,0.489338991,0.014584975,0.096329399,0.243524293,0.352499376,0.392567157
0.581579505,0.477542484,0.040973659,0.07535455,0.206336341,0.317507751,0.385584668
0.635085396,0.257296934,0.114427058,0.03549642,0.186037649,0.311164147,0.390360683
0.646377887,0.260031823,0.132978441,0.029185255,0.193753894,0.328917425,0.386511335
0.695468723,0.073633347,0.220375669,0.008865551,0.154214008,0.277827728,0.367944205
0.737884063,0.004511152,0.340035728,0.000504693,0.115089709,0.245234102,0.389026317
0.78447635,0.037645471,0.489187574,0.004302837,0.082510452,0.244062803,0.364087065
0.793017154,0.061584917,0.465985878,0.006285398,0.074406251,0.228043237,0.387836894
0.833953131,0.191257809,0.685992936,0.024741249,0.060110455,0.207272254,0.358548806
0.864084079,0.357635971,0.690071903,0.049733191,0.036054692,0.196310279,0.335775358
0.903353808,0.574812122,0.816892023,0.08594913,0.021471751,0.147429906,0.308595959
0.928757973,0.785558364,0.953642722,0.114599833,0.010791712,0.140023347,0.301323792
0.937576121,0.750054715,0.976933775,0.145770036,0.008652917,0.13536952,0.298693196
0.991334448,1.067558261,1.076797898,0.226184715,0.000188733,0.106999476,0.261295343
1.011871329,0.911821504,1.017340288,0.257791029,0.000366392,0.095224968,0.257621044
1.054461648,1.019998074,0.99605717,0.350159505,0.007151124,0.058335271,0.204908466
1.061454228,0.904236315,1.060155054,0.364463935,0.009916666,0.061193553,0.204740477
1.089411467,0.784572024,1.078743903,0.453858125,0.021651124,0.045244068,0.188437204
1.097698997,0.792281643,0.946924087,0.498905923,0.027554195,0.041353141,0.186788264
1.105512835,0.673168647,0.993550777,0.461911452,0.028024003,0.03832872,0.176376454
1.151887598,0.352882061,0.927488011,0.599986601,0.065232466,0.018785811,0.152913577
1.183856564,0.210749665,0.862221924,0.741444558,0.09498226,0.007600186,0.12686212
1.216322371,0.056682395,0.757157851,0.907739472,0.129930297,0.0021883,0.10787664
1.250928309,3.90098E-05,0.663691751,0.963021298,0.182782922,1.73701E-06,0.084770011
1.268543196,0.017965413,0.575575472,1.091924351,0.210859478,0.000631567,0.070155246
1.310568103,0.196215679,0.390352747,1.022845645,0.259863792,0.008128257,0.054979265
1.320359096,0.235419912,0.379029913,1.179181995,0.336515505,0.011231782,0.049526682
1.360666695,0.561411527,0.223531739,1.223460585,0.360882966,0.026576147,0.029880753
1.395911712,0.892407029,0.144266486,1.403257705,0.432418841,0.050937696,0.018114603
1.401207296,0.947131909,0.120691107,1.3576668,0.522415631,0.047596677,0.016357424
1.441077677,1.353270548,0.048683851,1.370831661,0.597857816,0.079275677,0.00593213
1.458286819,1.365390816,0.022502398,1.400062211,0.597215135,0.100164362,0.002788208
1.484682349,1.473577926,0.003344464,1.402154989,0.722237186,0.13745228,0.000404907
1.537288839,1.542277375,0.022932048,1.591672932,0.781083506,0.209799309,0.002527392
1.580170524,1.0914814,0.088970945,1.63716678,1.05208249,0.24007488,0.011620855
1.626399412,0.80810443,0.257532306,1.527796252,1.224372502,0.319518737,0.029022436
1.661498585,0.428991233,0.386169305,1.597211137,1.338592239,0.382427589,0.042807003
1.670820822,0.382761716,0.412794349,1.420690297,1.287580657,0.434144481,0.05382512
1.676141944,0.349172538,0.449419546,1.524412765,1.220196464,0.449272324,0.057168809
1.701517276,0.158939832,0.630751145,1.343447077,1.278433589,0.456361321,0.077584567
1.748370705,0.000168264,0.89293897,1.369862367,1.459894572,0.558325059,0.12323943
1.800803332,0.174243541,1.177842441,1.095155856,1.571252302,0.667269957,0.168277858
1.838300723,0.546587307,1.360676451,1.079421248,1.624861206,0.905052708,0.217413977
1.884152171,1.118176389,1.694733785,0.942337036,1.719008233,1.0525596,0.278603254
1.922521055,1.49542442,1.658324063,0.738695891,2.048333144,1.127720073,0.386695861
1.960968296,1.900420308,1.743560098,0.583376279,1.949764705,1.103118447,0.405996846
1.976772557,2.002553058,1.900333119,0.570610126,2.108691873,1.224643662,0.486759265
2.008813876,1.808612254,2.176538842,0.496844446,2.060899149,1.46358701,0.534121441
2.035830411,1.926176638,1.836451979,0.362783179,2.047051123,1.309211546,0.61866611
2.071809399,1.712992707,2.024597779,0.262850322,2.022189713,1.659449041,0.599949779
2.104759751,1.202593366,1.727681215,0.190844182,1.879651902,1.553962377,0.66641332
2.114606625,1.245360012,2.025940114,0.173278232,2.040560103,1.800460926,0.710187084
2.161970418,0.555553034,1.778154024,0.066778432,1.963679618,1.660978116,0.877734942
2.16947804,0.529488027,1.68043459,0.063822995,1.845369008,1.809985045,0.812659481
2.192680595,0.2788248,1.4973127,0.033524364,2.190455189,1.926546899,0.882894847
2.218367846,0.087595059,1.229501877,0.010184424,1.977696987,1.793594607,1.084905257
2.244070458,0.002990586,1.193771544,0.000346027,2.102771945,1.915515753,1.123535536
2.292540209,0.15534507,0.866498795,0.017730885,1.884858624,2.28717525,1.283090177
2.313789856,0.383975355,0.725748382,0.039868011,1.758590647,2.272442863,1.426296123
2.332020015,0.583780856,0.605004266,0.062689154,1.599556712,2.246306262,1.425088941
2.351690409,0.772748792,0.504159425,0.111627,1.561390195,2.267294163,1.40227959
2.382907128,1.379309056,0.303475732,0.193073023,1.768323787,2.400848373,1.562758999
2.406644697,1.622006443,0.192807108,0.265080956,1.560045959,2.576835314,1.517515675
2.415357095,1.930378119,0.166460822,0.256771111,1.653876732,2.46339915,1.632969537
2.466275394,2.304536673,0.02680245,0.501013113,1.301925066,2.328484304,1.890605303
2.509073437,2.472031963,0.001847257,0.60778281,1.153756002,2.375568387,1.758813433
2.519866934,2.264077091,0.010321646,0.750287815,1.182344526,2.5326049,2.089734814
2.554698702,2.141957878,0.070669519,0.971916638,1.060803154,2.5945051,2.050425293
2.583336172,1.874623471,0.182962946,1.067232814,0.936091353,2.432657614,2.147655305
2.602290062,1.511878675,0.264924506,1.26302484,0.919543347,2.667331241,2.255426229
2.623375342,1.445954334,0.350424502,1.271037144,0.809294586,2.712908617,2.053658989
2.655585,0.80313018,0.566007081,1.53865368,0.709318093,2.6076438,2.404921549
2.678063337,0.559420317,0.70851999,1.731087589,0.610703515,2.613815831,2.561032195
2.717731022,0.113839506,1.165401912,1.946466341,0.530193097,2.705537376,2.607852328
2.752101588,0.000512524,1.474864389,2.190101926,0.36823347,2.415952702,2.586305321
2.780739339,0.102859871,1.52332986,2.237127458,0.291381769,2.619209244,2.641663544
2.835158451,0.664918562,2.190592234,2.606448414,0.185843615,2.489641015,2.898753352
2.848897077,0.892607245,2.289096196,2.633395869,0.156803959,2.106971963,2.672694223
2.865782739,1.357505729,2.216648505,2.70123812,0.119053092,2.137539811,2.562247858
2.877467967,1.517505656,2.505116128,2.57430063,0.11486949,2.317846049,2.841990088
2.901737164,2.023078219,2.765333145,2.990107703,0.072185582,2.166756232,2.916908463
2.909693439,2.229032609,2.551662579,2.859691422,0.053342564,2.332232247,2.994306828
2.919784506,2.242067669,2.504584898,3.068114851,0.047258977,2.296859841,2.6929935
2.97390748,2.930768232,2.985441585,2.954619265,0.005421085,2.003116669,3.187354079
3.006532353,2.750208255,2.960950404,2.89989777,0.000300244,1.835426643,2.824311646
3.047957245,2.642350104,2.76280553,2.859161286,0.018264806,1.707378758,3.086177341
3.102654003,2.111061964,2.777779723,2.997964621,0.07813007,1.575607805,2.872063298
3.144802397,1.170730862,2.785340565,3.107110588,0.15546668,1.596565866,2.917118321
3.188611221,0.430197019,2.307311531,2.463008164,0.295828988,1.378433961,2.855977608
3.196610174,0.380545952,2.185296203,2.617604303,0.284748811,1.285305972,3.051591426
3.20721075,0.218503004,1.942092103,2.850406656,0.295540674,1.395060424,2.895747298
3.223397938,0.097714705,1.860509546,2.540119696,0.390440647,1.150653427,3.065866657
3.241558329,0.008705307,1.833102307,2.303817825,0.45836056,1.206514902,2.978382642
3.26860526,0.042506988,1.466755598,2.298589805,0.566786872,1.058214178,3.169613946
3.296642323,0.259203513,1.108045007,2.154476404,0.675874238,0.901464806,3.054669244
3.32932822,0.744015235,0.845966079,1.833927287,0.803208286,0.917868559,3.008855955
3.35687718,1.181998033,0.623507652,1.766212814,0.892458375,0.698569788,2.665179884
3.387866993,1.800243127,0.4430051,1.551111645,1.002186109,0.678341627,2.623053365
3.415129507,2.411781783,0.232123959,1.285871148,1.36406382,0.617483622,3.020381661
3.434435937,2.851557153,0.146317542,1.21625231,1.467788335,0.467264609,2.578831078
3.440553736,3.222597684,0.129844756,1.176493961,1.284486524,0.451958713,2.487784319
3.451705192,3.137283359,0.08191306,1.180888931,1.565492525,0.432571198,2.740060855
3.458370279,3.410051641,0.061974108,1.075429627,1.47398035,0.44232081,2.563346354
3.4700805,3.512585216,0.030053198,1.026918255,1.556519078,0.394530128,2.877313232
3.509110357,3.653528638,0.002923093,0.752771743,1.746243629,0.336290702,2.590043576
3.517119875,3.637353688,0.010240407,0.726287409,1.67387024,0.275051714,2.391185168
3.537491045,3.615633689,0.047325762,0.690378956,1.94765239,0.259524658,2.31388764
3.588174714,2.809993703,0.24181414,0.431283168,2.307628914,0.144046421,2.179050988
3.600779121,2.346287551,0.330145181,0.36254819,2.529228145,0.122336976,2.398879549
3.644098585,1.25360048,0.74014735,0.167575066,2.741437806,0.067244996,2.285387443
3.695509004,0.455177887,1.230235115,0.052193108,2.920121693,0.016804706,2.129305455
3.736834533,0.025640677,1.879253467,0.003048051,3.314540867,0.001096996,1.810475202
3.769040942,0.054701197,2.249155108,0.006573528,3.08105816,0.002225908,1.912581357
3.800102376,0.39074471,2.349955488,0.043440482,3.292546465,0.015297899,1.856534198
3.837606617,0.991980121,2.935137391,0.122658119,3.508844452,0.045457083,1.676060863
3.845853164,1.192824736,3.081666336,0.139313912,3.791055681,0.056490699,1.517970731
3.882188248,2.08351259,3.443686167,0.295811261,3.852479476,0.10554258,1.323788136
3.900093875,2.379604973,3.345570237,0.378791235,3.489610935,0.124596075,1.394906508
3.926407874,3.297642141,3.81473682,0.536708082,4.198195661,0.184856026,1.176561719
3.931971024,3.024496439,3.814848283,0.511776026,3.931042085,0.183773211,1.233264798
3.983215698,4.275507468,3.946050128,0.802592498,4.008550526,0.349478346,1.107403408
3.999916121,3.982117623,4.127436159,0.949542009,4.147521779,0.414483868,1.041583283
4.022527411,4.294882534,3.659355717,1.065619023,3.628778263,0.474641785,1.002371922
4.035685148,3.895775921,3.68940625,1.188195225,3.889649399,0.452605139,0.880449493
4.067561306,3.450496805,3.84814051,1.49863729,3.829522565,0.674917347,0.718782084
4.089421843,2.989929768,3.849684006,1.68625469,4.329889503,0.736644875,0.719586946
4.10709019,2.646869854,3.764141328,1.834640754,4.212426195,0.800178237,0.678609573
4.157437796,1.14027778,3.369629782,2.129755957,4.232417943,1.096170617,0.547493823
4.206149997,0.339333981,2.677871419,2.631284315,3.641977413,1.140970639,0.356160425
4.211758648,0.239904843,2.540280223,2.673420449,3.774866917,1.289848453,0.403447305
4.230952112,0.061594822,2.131881384,3.175013519,3.473411164,1.382265568,0.346579436
4.24165505,0.011004522,2.093712612,3.25625854,3.651631538,1.354374231,0.276103541
4.289102951,0.271538983,1.574168628,3.331787534,3.512050279,1.68271796,0.185885057
4.32310327,0.776299086,1.107255186,3.933219169,3.270189905,1.722290487,0.143689778
4.341429323,1.235185594,0.971420162,3.619796298,3.216849926,2.035846201,0.11794494
4.348807356,1.494137901,0.869133712,4.20647166,3.367578353,1.86808725,0.09738045
4.39728695,2.581526917,0.474665899,4.147255385,2.716826697,2.092960683,0.055272142
4.416231426,3.079376516,0.308350115,4.145902267,2.680994543,2.570022262,0.032366007
4.435131489,3.887933721,0.186088197,4.754898188,2.821876194,2.414763736,0.021435076
4.469968012,4.096673423,0.042553533,4.193455059,2.257755113,2.874049613,0.004665539
4.521127,4.288593576,0.019052513,4.075035605,2.259971835,2.841218789,0.002433881
4.563380907,3.755880448,0.181371759,4.635734427,1.949078039,3.314039652,0.018541153
4.593089513,3.11917859,0.356937083,4.526056229,1.535573022,3.676599058,0.039225806
4.631568142,2.097040417,0.815653691,4.372463627,1.52407779,3.556134481,0.082991958
4.656213544,1.453453328,0.966549386,4.576300156,1.143529913,3.723202276,0.116151323
4.688707173,0.720236318,1.454822123,4.274156479,1.129364087,3.991234511,0.172801942
4.702179103,0.403421518,1.789395271,4.275911352,0.988539021,3.821322725,0.207009044
4.728806072,0.077921856,2.048091255,3.893270109,0.791983047,4.055407765,0.292608976
4.739804179,0.018474113,2.148042069,3.629343593,0.804128155,4.076698123,0.30759169
4.762307298,0.029686501,2.504537129,3.701237086,0.597657335,4.706816907,0.368709456
4.804825783,0.547601251,2.937308583,2.805318989,0.40231819,4.197649718,0.516266086
4.834855818,1.260157924,3.763578029,2.573142544,0.290333674,4.816825118,0.624852124
4.883112319,2.844703684,4.239836155,2.421442227,0.153500298,4.709629903,0.751759073
4.908314037,3.4812749,4.278946697,2.149518266,0.108263681,4.990817118,0.853195918
4.950596064,4.420389398,4.363042943,1.764368531,0.030088827,5.183924361,0.981541868
4.977682486,4.507576916,5.167361258,1.422694549,0.005682642,4.849563851,1.195071724
5.008718223,4.702967074,5.503452658,1.152233868,0.000851177,4.575733176,1.235612369
5.047528802,4.475167543,5.035227235,0.841631887,0.0295508,5.373033891,1.613428045
5.074571132,4.316904291,4.641003565,0.650469354,0.067155315,5.394319577,1.621544699
5.113987222,3.170963837,4.366527666,0.434596823,0.16457759,4.830366692,1.712403626
5.126532349,2.533012056,4.642719087,0.345184123,0.185662253,5.251894207,2.03950357
5.157660158,1.401462435,4.238200358,0.204528305,0.313524134,4.502960234,2.168442181
5.205684802,0.359890004,3.04554123,0.047197425,0.53432036,5.32960252,2.128397555
5.237998798,0.031970425,2.673118695,0.003498685,0.707235518,4.384417762,2.507381631
5.282853133,0.234414378,2.069237362,0.023644408,0.903084037,4.467178354,2.609653151
5.33391254,1.297143207,1.364733507,0.161313327,1.301034687,4.837192329,3.237998051
5.345620241,1.573535746,1.089401851,0.22287904,1.359910112,4.606073074,3.052299898
5.394453907,3.106239826,0.606204302,0.525210276,1.898439726,4.438692183,3.585358285
5.431558912,4.718464288,0.267790242,0.737794397,1.934917006,3.695477083,3.985578213
5.446124361,5.290813865,0.139570877,0.952298046,2.08601367,3.878808216,3.488139042
5.465506047,5.263897387,0.069801184,1.048859599,2.463893778,3.674908676,3.830189916
5.485561436,4.917425628,0.011657822,1.312518632,2.430501188,3.689104697,4.16856028
5.493554654,5.673072699,0.002089958,1.406410082,2.797462781,3.507272196,4.041333328
5.532817376,5.582706656,0.059678229,1.880154672,3.034310288,3.074539873,4.703243108
5.586644985,3.711263175,0.398357239,2.278358101,3.45576402,3.347297613,4.568545222
5.604924703,3.604828566,0.565947462,2.557639157,3.449271396,2.964683818,4.534640259
5.654288692,1.948700513,1.224877904,3.271373361,4.204713911,2.856725448,4.717445699
5.667803951,1.407960028,1.313451306,3.642741428,4.645251642,2.52694499,4.746917502
5.702605159,0.451317989,2.127062638,4.092154252,4.867419813,2.419125411,5.317816372
5.739751521,0.025577146,2.898438083,4.403109695,5.23916358,1.955018236,4.949763681
5.793699846,0.416568116,3.338815185,4.313169195,5.086654931,1.715258894,5.364887458
5.827541857,1.264541281,4.484745527,5.043411494,5.168512158,1.35957601,5.538596991
5.875255139,2.794086616,5.162899482,5.33619955,5.283938261,1.157312404,5.777392025
5.92037316,4.633982293,5.729340966,6.290055288,5.534150754,0.939877585,5.680442155
5.928262632,4.531051929,5.164261786,5.497179369,5.907346589,0.841946956,5.855446996
5.963477935,5.350902027,5.633755369,5.691173536,6.48410946,0.76584379,5.750685591
5.976287019,6.001603131,6.119547937,5.862265817,5.423729214,0.655914114,5.852418311
6.028020011,5.965181496,6.326237156,5.874033667,5.665039112,0.433159746,5.762039315
6.046271493,5.008978823,5.801995063,6.507028572,6.394261802,0.352752763,6.502078386
6.053307364,4.950828548,6.324160496,6.242086873,6.467589362,0.342949567,5.878948662
6.078475384,5.092612443,5.75280873,5.578914864,6.131517278,0.303067797,5.912250879
6.116470781,3.518421859,5.407454082,6.234770436,5.577176883,0.16949609,5.92716996
6.166895582,1.532831429,4.188170527,5.620405469,5.565512543,0.065307861,5.507406929
6.204316085,0.4912636,4.0986355,5.012088107,5.639732224,0.020252075,6.251571747
6.247102671,0.001873167,3.268463381,5.161718417,5.820435418,8.70592E-05,5.728068906
6.261354019,0.032596203,3.160223628,4.944824225,5.11183992,0.001317907,5.706899624
6.299338461,0.636411129,2.296532063,4.251953125,5.446928281,0.022186239,6.021595717
6.34259886,2.02074414,1.561704566,3.576256645,4.8173852,0.077814159,5.24573534
6.377334498,2.964651069,0.95404999,3.403277294,4.58056451,0.154815759,5.911538345
6.423291901,5.040747872,0.373687036,2.636072761,4.02822877,0.301291624,5.040609819
6.438197436,4.977763517,0.237368996,2.140191498,3.740656684,0.319679143,5.310664796
6.489469022,5.8167376,0.00713271,1.786253164,3.557304313,0.555683448,4.843254942
6.510150415,6.453907091,0.006447893,1.372636828,3.01150383,0.735155647,4.7637057
6.51541984,5.936580547,0.014628491,1.376589531,3.202193139,0.712969782,4.779514772
6.543233105,5.809068817,0.122402686,1.2618577,2.631953293,0.826773381,5.060805683
6.584119843,4.798264963,0.41763762,0.809790567,2.195620694,1.061011783,4.197241085
6.631945391,3.032925968,1.134895665,0.409016041,1.88304701,1.484007319,4.455723279
6.65148457,2.251561321,1.503853507,0.291134497,1.715546439,1.599104362,4.162360814
6.677161484,1.331936794,1.766209284,0.169266142,1.731045605,1.723323891,4.199303739
6.707182272,0.447299503,2.362848687,0.052741564,1.379798549,1.991023952,3.483696343
6.714179999,0.349418248,2.79849107,0.036903569,1.187669359,2.178283788,3.797822749
6.745534443,0.005698927,3.110034027,0.000550893,0.977355222,2.515959682,3.27162316
6.762725253,0.043960685,3.824314598,0.004542874,0.89582019,2.286499364,3.105872323
6.791383523,0.406961034,4.301147909,0.053145994,0.661720003,2.886223044,3.045819494
6.796767429,0.518400184,4.223714887,0.06755673,0.703495179,2.995169452,2.873197878
6.811855658,0.963861781,4.301120263,0.117881483,0.55219201,3.082580536,2.709678272
6.847250316,2.261033206,5.462991641,0.277139369,0.423843711,3.115589673,2.848322709
6.884984665,3.548370324,5.553554521,0.493212085,0.227419336,3.586878593,2.603825894
6.920470595,5.329324294,6.589564299,0.851405127,0.111922714,4.196912854,2.377080057
6.952210701,6.660762076,7.022927823,1.154652123,0.03691593,4.056510097,2.204046804
6.971540691,7.24745868,6.77985611,1.470507772,0.014415929,4.051813119,1.936684939
6.978783461,7.031519075,6.492518612,1.611170641,0.007344913,4.52158087,1.899264736
6.985058035,6.716738321,7.27217995,1.632395888,0.00402802,4.262108185,1.703371094
7.038695208,6.183116283,7.425426237,2.328139943,0.027379988,5.314634592,1.436241176
7.051447504,5.975345754,7.463597485,2.626597773,0.04166496,5.1771783,1.538432021
7.088994534,5.559734348,6.577263162,2.942329669,0.126149434,4.983862792,1.174006443
7.098354102,4.963418344,6.861228424,3.378444553,0.174175788,5.120503358,1.273127551
7.119230048,4.118529041,6.441034087,3.171508374,0.248477912,6.075539397,1.163838076
7.171710371,1.59510353,4.791416759,4.066470117,0.505681829,5.963264644,0.787731892
7.22040972,0.256180301,4.685968491,5.186496349,0.789834078,6.39518634,0.626655454
7.259843499,0.028871727,3.098013853,5.649184246,1.247635437,6.550751888,0.477837155
7.302336343,0.811413179,2.471674663,6.070370325,1.436199314,6.745498869,0.277648927
7.309415796,0.986473023,2.278320474,5.797302589,1.455907811,6.491694468,0.295205253
7.347597959,2.599579644,1.480319264,6.62574083,2.011109563,6.767842018,0.187718681
7.373563511,3.467435385,0.995186048,7.103994001,2.468078366,6.683725237,0.13266377
7.419974002,5.729856323,0.442351443,7.022996801,2.721616412,7.678096728,0.049613171
7.427003222,6.299398934,0.39922483,6.991731269,2.855705654,7.552777791,0.041543383
7.45001633,7.21657265,0.196554961,7.611701285,2.882547878,7.344649927,0.020320061
7.480347269,7.938524645,0.030742741,6.843711367,3.599670533,7.927079765,0.002962157
7.530901029,6.909237096,0.072321674,7.631379296,4.524292179,7.222639128,0.008318433
7.578611919,6.364702017,0.466787369,8.035742611,4.267231587,7.11718762,0.054275867
7.615014689,4.196469437,0.958286521,7.461804902,5.594950348,7.171446982,0.114823893
7.658142637,2.243676402,1.648806998,6.907154745,5.576019636,7.862802383,0.222853133
7.686180574,1.210616341,2.426477918,6.370187112,6.409058412,6.878390922,0.292161534
7.709745946,0.505325141,2.84243984,6.291112585,6.008713933,6.831421918,0.364325943
7.76470924,0.065585264,4.154406996,5.395864328,7.121739073,7.095831518,0.556832701
7.769879147,0.120169634,4.001718797,6.082328447,6.892085495,7.598202487,0.596963844
7.801573801,0.811300084,4.797299879,4.695314641,7.657193412,6.97724607,0.75319933
7.8153545,1.154109152,5.361132828,4.404591429,6.555345693,6.862902008,0.854609651
7.85880237,2.891688527,6.00894285,4.262327542,7.905814503,6.634444865,1.127107529
7.880593411,4.424200002,7.243747967,3.68624494,7.531678817,5.847131373,1.140702782
7.901693162,5.670928277,7.043505512,3.610232928,6.961090934,5.988236661,1.37291884
7.956508426,6.939528444,7.56837122,2.401228017,7.178691657,5.575499883,1.677432261
8.001428548,8.366449479,7.600405521,1.789069763,7.757875994,5.079170662,1.842236347
8.014040402,7.466578768,8.262114152,1.702109692,8.565182201,4.935091935,2.075651391
